Rank,Name,Title,Country,Rating,Birth Year
1,Erigaisi Arjun,GM,IND,2769,2003
2,Praggnanandhaa R,GM,IND,2768,2005
3,Gukesh D,GM,IND,2763,2006
4,"Anand, Viswanathan",GM,IND,2743,1969
5,"Vidit, Santosh Gujrathi",GM,IND,2715,1994
6,"Aravindh, Chithambaram VR.",GM,IND,2713,1999
7,Nihal Sarin,GM,IND,2704,2004
8,"Harikrishna, Pentala",GM,IND,2690,1986
9,"Karthikeyan, Murali",GM,IND,2662,1999
10,"Pranav, V",GM,IND,2641,2006
11,"Sadhwani, Raunak",GM,IND,2641,2005
12,Pranesh M,GM,IND,2630,2006
13,Aryan Chopra,GM,IND,2626,2001
14,Aditya Mittal,GM,IND,2624,2006
15,"Puranik, Abhimanyu",GM,IND,2622,2000
16,"Mendonca, Leon Luke",GM,IND,2620,2006
17,Narayanan S L,GM,IND,2617,1998
18,"Iniyan, Pa",GM,IND,2601,2002
19,Pranav Anand,GM,IND,2581,2006
20,Karthik Venkataraman,GM,IND,2576,1999
21,"Ghosh, Diptayan",GM,IND,2573,1998
22,Bharath Subramaniyam H,GM,IND,2573,2007
23,"Vaibhav, Suri",GM,IND,2568,1997
24,"Ganguly, Surya Shekhar",GM,IND,2559,1983
25,"Adhiban, B.",GM,IND,2557,1992
26,Sankalp Gupta,GM,IND,2557,2003
27,"Sethuraman, S.P.",GM,IND,2556,1993
28,Raja Rithvik R,GM,IND,2541,2004
29,Visakh N R,GM,IND,2540,1999
30,Gopal G.N.,GM,IND,2539,1989
31,Harikrishnan.A.Ra,IM,IND,2536,2001
32,"Sasikiran, Krishnan",GM,IND,2535,1981
33,Samant Aditya S,GM,IND,2529,2006
34,Harsha Bharathakoti,GM,IND,2526,2000
35,"Gupta, Abhijeet",GM,IND,2521,1989
36,Aronyak Ghosh,IM,IND,2520,2003
37,"Mitrabha, Guha",GM,IND,2515,2001
38,Ilamparthi A R,IM,IND,2510,2009
39,Lalit Babu M R,GM,IND,2506,1993
40,Aaryan Varshney,IM,IND,2500,2005
41,Nitish Belurkar,IM,IND,2495,2001
42,Vignesh N R,GM,IND,2494,1998
43,Rohith Krishna S,IM,IND,2489,2005
44,"Aswath, S",IM,IND,2488,2008
45,"Rathanvel, V S",IM,IND,2483,2001
46,"Chanda, Sandipan",GM,IND,2483,1983
47,Md Imran,IM,IND,2482,2009
48,Harshavardhan G B,IM,IND,2479,2003
49,"Gusain, Himal",IM,IND,2479,1993
50,"Sengupta, Deep",GM,IND,2478,1988
51,Koustav Chatterjee,GM,IND,2475,2003
52,"Grover, Sahaj",GM,IND,2475,1995
53,"Anurag, Mhamal",GM,IND,2474,1995
54,Jubin Jimmy,IM,IND,2474,2006
55,Raja Harshit,GM,IND,2472,2001
56,Srihari L R,GM,IND,2472,2005
57,"Ashwin, Jayaram",GM,IND,2472,1990
58,Rahul Srivatshav P,GM,IND,2472,2002
59,Aarav Dengla,IM,IND,2471,2009
60,Ayush Sharma,IM,IND,2468,2005
61,"Vaz, Ethan",IM,IND,2466,2011
62,"Shyam, Sundar M.",GM,IND,2466,1992
63,Neelash Saha,IM,IND,2466,2002
64,Sriram Adarsh Uppala,IM,IND,2463,2010
65,Prraneeth Vuppala,GM,IND,2455,2007
66,Mayank Chakraborty,IM,IND,2454,2009
67,Anuj Shrivatri,IM,IND,2451,2004
68,"Panchanathan, Magesh Chandran",GM,IND,2451,1983
69,Ajay Santhosh Parvathareddy,FM,IND,2446,2010
70,"Swayams, Mishra",GM,IND,2444,1992
71,"Stany, G.A.",GM,IND,2441,1993
72,"Gagare, Shardul",GM,IND,2439,1997
73,Raahul V S,IM,IND,2437,2003
74,Harsh Suresh,IM,IND,2436,2007
75,Muthaiah AL,IM,IND,2432,1999
76,Kushagra Mohan,IM,IND,2432,2004
77,Vignesh Advaith Vemula,,IND,2428,2009
78,Audi Ameya,IM,IND,2427,1999
79,Goutham Krishna H,IM,IND,2425,2010
80,"Das, Sayantan",GM,IND,2424,1997
81,Siva Mahadevan,IM,IND,2424,2001
82,Dhulipalla Bala Chandra Prasad,IM,IND,2423,1996
83,Shyaam Nikhil P,GM,IND,2423,1992
84,Panesar Vedant,FM,IND,2419,2003
85,Mohamed Anees M,IM,IND,2416,2003
86,Aaditya Dhingra,IM,IND,2412,2006
87,Garv Rai,,IND,2412,2007
88,Shahil Dey,IM,IND,2411,2007
89,Deepan Chakkravarthy J.,GM,IND,2410,1987
90,"Ravi, Teja S.",IM,IND,2408,1993
91,"Aradhya, Garg",IM,IND,2407,2000
92,"Gauri, Shankar",IM,IND,2407,1992
93,Borgaonkar Akshay,IM,IND,2403,2009
94,Daaevik Wadhawan,FM,IND,2403,2009
95,Bivor Adak,,IND,2402,2009
96,Soham Kamotra,IM,IND,2400,2004
97,Krishna C R G,IM,IND,2399,1991
98,Mohammad Nubairshah Shaikh,IM,IND,2399,1998
99,"Anwesh, Upadhyaya",IM,IND,2398,1992
100,"Aakash Sharadchandra, Dalvi",IM,IND,2398,2002
1,"Koneru, Humpy",GM,IND,2535,1987
2,Divya Deshmukh,GM,IND,2505,2005
3,"Vaishali, Rameshbabu",GM,IND,2473,2001
4,"Dronavalli, Harika",GM,IND,2466,1991
5,Rakshitta Ravi,WGM,IND,2381,2005
6,Vantika Agrawal,IM,IND,2369,2002
7,"Padmini, Rout",IM,IND,2337,1994
8,Savitha Shri B,IM,IND,2319,2007
9,Kulkarni Bhakti,IM,IND,2318,1992
10,"Vijayalakshmi, Subbaraman",IM,IND,2311,1979
11,Prishita Gupta,FM,IND,2304,2011
12,"Nandhidhaa, P V",WGM,IND,2302,1996
13,"Arpita, Mukherjee",WIM,IND,2301,2001
14,Priyanka Nutakki,WGM,IND,2295,2002
15,Velpula Sarayu,WIM,IND,2292,2006
16,Sahithi Varshini M,FM,IND,2289,2007
17,Shubhi Gupta,WFM,IND,2285,2010
18,"Srija, Seshadri",WGM,IND,2285,1997
19,Aakanksha Hagawane,WIM,IND,2274,2000
20,Sherali Pattnaik,FM,IND,2270,2010
21,"Gomes, Mary Ann",WGM,IND,2262,1989
22,Kolagatla Alana Meenakshi,WFM,IND,2260,2011
23,"Soumya, Swaminathan",IM,IND,2256,1989
24,"Karavade, Eesha",IM,IND,2249,1987
25,Mrudul Dehankar,WIM,IND,2237,2004
26,Kalyani Sirin,WFM,IND,2235,2010
27,Pandey Srishti,WIM,IND,2216,2001
28,Tejaswini G,WIM,IND,2212,2007
29,Chitlange Sakshi,WIM,IND,2193,2000
30,Sharma Isha,WIM,IND,2191,2000
31,"Deodhar,Vrushali Umesh",WFM,IND,2188,1997
32,Arshiya Das,WFM,IND,2180,2010
33,Bommini Mounika Akshaya,WIM,IND,2178,2003
34,Charvi A,WFM,IND,2174,2014
35,Aamuktha Guntaka,WFM,IND,2161,2012
36,Sneha Halder,WFM,IND,2160,2009
37,Sunyuktha C M N,WFM,IND,2159,2000
38,Kheerthi Ganta,WFM,IND,2156,2007
39,"Parnali, S Dharia",WIM,IND,2150,1997
40,"Salonika, Saina",WIM,IND,2149,2003
41,"Pujari, Rucha",WIM,IND,2144,1994
42,"Chandreyee, Hajra",WIM,IND,2137,1999
43,"Mohota, Nisha",IM,IND,2136,1980
44,"Shah, Vishwa",WFM,IND,2135,2000
45,Pragnya H G,WFM,IND,2131,2008
46,"Priyanka, K",WIM,IND,2119,2001
47,Amulya Guruprasad,WFM,IND,2113,2008
48,"Michelle Catherina, P",WIM,IND,2113,1996
49,Swara Lakshmi S Nair,WCM,IND,2104,2006
50,Arya G Mallar,WFM,IND,2101,2009
51,Vishwa Vasnawala,WIM,IND,2099,2006
52,Modipalli Deekshitha,WCM,IND,2080,2012
53,Sachi Jain,WFM,IND,2080,2009
54,Shivika Rohilla,WFM,IND,2077,2007
55,Tarini Goyal,WIM,IND,2077,2001
56,Anishka Vikram,WCM,IND,2076,2007
57,Rindhiya V,WFM,IND,2075,2004
58,Cera Dagariya,WFM,IND,2064,2007
59,Swetha Kalidindi,WCM,IND,2064,1991
60,"Madanasri, Gundala",WCM,IND,2062,1993
61,Nivedita V C,WFM,IND,2052,2011
62,Potluri Saye Srreezza,,IND,2051,1999
63,"Toshali, V",WFM,IND,2045,2001
64,Saparya Ghosh,WFM,IND,2042,2010
65,"Saranya, J",WFM,IND,2037,1995
66,Swati Ghate,WGM,IND,2036,1980
67,Mrittika Mallick,,IND,2036,2008
68,Marium Fatima,WFM,IND,2035,2006
69,Dhyana Patel,WFM,IND,2035,2005
70,Keerti Shree Reddy,WFM,IND,2033,2007
71,Jeevika S,,IND,2028,2009
72,"Rajadharshini, M.",WCM,IND,2028,1989
73,Shivamshika G,,IND,2022,2011
74,Drishtee Ghosh,,IND,2021,2009
75,Bristy Mukherjee,WFM,IND,2017,2004
76,Arushi Severin Helen D Silva,,IND,2015,2010
77,Kirthika B,,IND,2010,2011
78,Pratitee Bordoloi,WCM,IND,2006,2013
79,Lasya.g,WFM,IND,1999,1997
80,Anupam M Sreekumar,WCM,IND,1992,2008
81,Sravyasree Bheemarasetty,,IND,1990,2012
82,"Nimmy, A.G.",WIM,IND,1990,1986
83,Yash Jyoti Bir,WFM,IND,1988,2006
84,Rebecca Jesumarian,,IND,1982,2005
85,Sharvaanica A S,WCM,IND,1979,2015
86,Bhat Sannidhi Ramakrishna,,IND,1978,2009
87,Shanmathi Sree S,WCM,IND,1975,2011
88,Prakash Vaishnavi,,IND,1964,2008
89,Niharika Challa,,IND,1962,2000
90,Saranya Devi Narahari,WFM,IND,1960,2012
91,"Tejaswini, Sagar",WIM,IND,1955,2000
92,Ananya Raman,,IND,1955,2009
93,Ishvi Aggarwal,WCM,IND,1954,2005
94,Anushka Bapu Kutwal,,IND,1952,2009
95,Krisha Tamhant Jain,,IND,1951,2014
96,Gade Sharanya,,IND,1950,2009
97,Jain Ashita,,IND,1949,2009
98,Femil Chelladurai,,IND,1944,2005
99,Mysha Perwez,,IND,1940,2012
100,"Kiran, Manisha Mohanty",WGM,IND,1939,1989
