34,Name,Title,Country,Rating,BirthYear
35,Erigaisi Arjun,GM,IND,2769,2003
36,Praggnanandhaa R,GM,IND,2768,2005
37,Gukesh D,GM,IND,2763,2006
38,"Anand, Viswanathan",GM,IND,2743,1969
39,"Vidit, Santosh Gujrathi",GM,IND,2715,1994
40,"Aravindh, Chithambaram VR.",GM,IND,2713,1999
41,Nihal Sarin,GM,IND,2704,2004
42,"Harikrishna, Pentala",GM,IND,2690,1986
43,"Karthikeyan, Murali",GM,IND,2662,1999
44,"Pranav, V",GM,IND,2641,2006
45,"Sadhwani, Raunak",GM,IND,2641,2005
46,Pranesh M,GM,IND,2630,2006
47,Aryan Chopra,GM,IND,2626,2001
48,Aditya Mittal,GM,IND,2624,2006
49,"Puranik, Abhimanyu",GM,IND,2622,2000
50,"Mendonca, Leon Luke",GM,IND,2620,2006
51,Narayanan S L,GM,IND,2617,1998
52,"Iniyan, Pa",GM,IND,2601,2002
53,Pranav Anand,GM,IND,2581,2006
54,Karthik Venkataraman,GM,IND,2576,1999
55,"Ghosh, Diptayan",GM,IND,2573,1998
56,Bharath Subramaniyam H,GM,IND,2573,2007
57,"Vaibhav, Suri",GM,IND,2568,1997
58,"Ganguly, Surya Shekhar",GM,IND,2559,1983
59,"Adhiban, B.",GM,IND,2557,1992
60,Sankalp Gupta,GM,IND,2557,2003
61,"Sethuraman, S.P.",GM,IND,2556,1993
62,Raja Rithvik R,GM,IND,2541,2004
63,Visakh N R,GM,IND,2540,1999
64,Gopal G.N.,GM,IND,2539,1989
65,"Sasikiran, Krishnan",GM,IND,2535,1981
66,Samant Aditya S,GM,IND,2529,2006
67,Harsha Bharathakoti,GM,IND,2526,2000
68,"Gupta, Abhijeet",GM,IND,2521,1989
69,"Mitrabha, Guha",GM,IND,2515,2001
70,Lalit Babu M R,GM,IND,2506,1993
71,Vignesh N R,GM,IND,2494,1998
72,"Chanda, Sandipan",GM,IND,2483,1983
73,"Sengupta, Deep",GM,IND,2478,1988
74,Koustav Chatterjee,GM,IND,2475,2003
75,"Grover, Sahaj",GM,IND,2475,1995
76,"Anurag, Mhamal",GM,IND,2474,1995
77,Raja Harshit,GM,IND,2472,2001
78,Srihari L R,GM,IND,2472,2005
79,"Ashwin, Jayaram",GM,IND,2472,1990
80,Rahul Srivatshav P,GM,IND,2472,2002
81,"Shyam, Sundar M.",GM,IND,2466,1992
82,Prraneeth Vuppala,GM,IND,2455,2007
83,"Panchanathan, Magesh Chandran",GM,IND,2451,1983
84,"Swayams, Mishra",GM,IND,2444,1992
85,"Stany, G.A.",GM,IND,2441,1993
86,"Gagare, Shardul",GM,IND,2439,1997
87,"Das, Sayantan",GM,IND,2424,1997
88,Shyaam Nikhil P,GM,IND,2423,1992
89,Deepan Chakkravarthy J.,GM,IND,2410,1987
90,Raahul V S,GM,IND,2437,2003
91,"Koneru, Humpy",GM,IND,2535,1987
92,Divya Deshmukh,GM,IND,2505,2005
93,"Vaishali, Rameshbabu",GM,IND,2473,2001
94,"Dronavalli, Harika",GM,IND,2466,1991
