Rank,Name,Title,Country,Rating,Birth Year
1,"Koneru, Humpy",GM,IND,2535,1987
2,Divya Deshmukh,GM,IND,2505,2005
3,"Vaishali, Rameshbabu",GM,IND,2473,2001
4,"Dronavalli, Harika",GM,IND,2466,1991
5,Rakshitta Ravi,WGM,IND,2381,2005
6,Vantika Agrawal,IM,IND,2369,2002
7,"Padmini, Rout",IM,IND,2337,1994
8,Savitha Shri B,IM,IND,2319,2007
9,Kulkarni Bhakti,IM,IND,2318,1992
10,"Vijayalakshmi, Subbaraman",IM,IND,2311,1979
11,Prishita Gupta,FM,IND,2304,2011
12,"Nandhidhaa, P V",WGM,IND,2302,1996
13,"Arpita, Mukherjee",WIM,IND,2301,2001
14,Priyanka Nutakki,WGM,IND,2295,2002
15,Velpula Sarayu,WIM,IND,2292,2006
16,Sahithi Varshini M,FM,IND,2289,2007
17,Shubhi Gupta,WFM,IND,2285,2010
18,"Srija, Seshadri",WGM,IND,2285,1997
19,Aakanksha Hagawane,WIM,IND,2274,2000
20,Sherali Pattnaik,FM,IND,2270,2010
21,"Gomes, Mary Ann",WGM,IND,2262,1989
22,Kolagatla Alana Meenakshi,WFM,IND,2260,2011
23,"Soumya, Swaminathan",IM,IND,2256,1989
24,"Karavade, Eesha",IM,IND,2249,1987
25,Mrudul Dehankar,WIM,IND,2237,2004
26,Kalyani Sirin,WFM,IND,2235,2010
27,Pandey Srishti,WIM,IND,2216,2001
28,Tejaswini G,WIM,IND,2212,2007
29,Chitlange Sakshi,WIM,IND,2193,2000
30,Sharma Isha,WIM,IND,2191,2000
31,"Deodhar,Vrushali Umesh",WFM,IND,2188,1997
32,Arshiya Das,WFM,IND,2180,2010
33,Bommini Mounika Akshaya,WIM,IND,2178,2003
34,Charvi A,WFM,IND,2174,2014
35,Aamuktha Guntaka,WFM,IND,2161,2012
36,Sneha Halder,WFM,IND,2160,2009
37,Sunyuktha C M N,WFM,IND,2159,2000
38,Kheerthi Ganta,WFM,IND,2156,2007
39,"Parnali, S Dharia",WIM,IND,2150,1997
40,"Salonika, Saina",WIM,IND,2149,2003
41,"Pujari, Rucha",WIM,IND,2144,1994
42,"Chandreyee, Hajra",WIM,IND,2137,1999
43,"Mohota, Nisha",IM,IND,2136,1980
44,"Shah, Vishwa",WFM,IND,2135,2000
45,Pragnya H G,WFM,IND,2131,2008
46,"Priyanka, K",WIM,IND,2119,2001
47,Amulya Guruprasad,WFM,IND,2113,2008
48,"Michelle Catherina, P",WIM,IND,2113,1996
49,Swara Lakshmi S Nair,WCM,IND,2104,2006
50,Arya G Mallar,WFM,IND,2101,2009
51,Vishwa Vasnawala,WIM,IND,2099,2006
52,Modipalli Deekshitha,WCM,IND,2080,2012
53,Sachi Jain,WFM,IND,2080,2009
54,Shivika Rohilla,WFM,IND,2077,2007
55,Tarini Goyal,WIM,IND,2077,2001
56,Anishka Vikram,WCM,IND,2076,2007
57,Rindhiya V,WFM,IND,2075,2004
58,Cera Dagariya,WFM,IND,2064,2007
59,Swetha Kalidindi,WCM,IND,2064,1991
60,"Madanasri, Gundala",WCM,IND,2062,1993
61,Nivedita V C,WFM,IND,2052,2011
62,Potluri Saye Srreezza,,IND,2051,1999
63,"Toshali, V",WFM,IND,2045,2001
64,Saparya Ghosh,WFM,IND,2042,2010
65,"Saranya, J",WFM,IND,2037,1995
66,Swati Ghate,WGM,IND,2036,1980
67,Mrittika Mallick,,IND,2036,2008
68,Marium Fatima,WFM,IND,2035,2006
69,Dhyana Patel,WFM,IND,2035,2005
70,Keerti Shree Reddy,WFM,IND,2033,2007
71,Jeevika S,,IND,2028,2009
72,"Rajadharshini, M.",WCM,IND,2028,1989
73,Shivamshika G,,IND,2022,2011
74,Drishtee Ghosh,,IND,2021,2009
75,Bristy Mukherjee,WFM,IND,2017,2004
76,Arushi Severin Helen D Silva,,IND,2015,2010
77,Kirthika B,,IND,2010,2011
78,Pratitee Bordoloi,WCM,IND,2006,2013
79,Lasya.g,WFM,IND,1999,1997
80,Anupam M Sreekumar,WCM,IND,1992,2008
81,Sravyasree Bheemarasetty,,IND,1990,2012
82,"Nimmy, A.G.",WIM,IND,1990,1986
83,Yash Jyoti Bir,WFM,IND,1988,2006
84,Rebecca Jesumarian,,IND,1982,2005
85,Sharvaanica A S,WCM,IND,1979,2015
86,Bhat Sannidhi Ramakrishna,,IND,1978,2009
87,Shanmathi Sree S,WCM,IND,1975,2011
88,Prakash Vaishnavi,,IND,1964,2008
89,Niharika Challa,,IND,1962,2000
90,Saranya Devi Narahari,WFM,IND,1960,2012
91,"Tejaswini, Sagar",WIM,IND,1955,2000
92,Ananya Raman,,IND,1955,2009
93,Ishvi Aggarwal,WCM,IND,1954,2005
94,Anushka Bapu Kutwal,,IND,1952,2009
95,Krisha Tamhant Jain,,IND,1951,2014
96,Gade Sharanya,,IND,1950,2009
97,Jain Ashita,,IND,1949,2009
98,Femil Chelladurai,,IND,1944,2005
99,Mysha Perwez,,IND,1940,2012
100,"Kiran, Manisha Mohanty",WGM,IND,1939,1989
